plot,mean_wt_c,total_cover,total_richness,year
E7,6.72,97,14,2005
H6,6.71,99,12,1979
K3,6.71,87,3,1981
J4,6.71,149,16,1987
E3,6.71,104,19,2005
I8,6.7,97,18,1979
G6,6.7,84,17,1981
B1,6.7,63,17,2005
F14,6.69,96,17,1981
C7,6.69,201,27,1981
E2,6.69,67,20,1981
I6,6.68,91,14,1981
J6,6.68,97,13,1981
G8,6.68,106,18,1981
F6,6.68,87,11,1982
C7,6.68,206,13,1984
I3,6.68,169,18,1987
G3,6.67,202,16,1987
E2,6.67,78,15,2005
F7,6.66,131,19,1981
D3,6.66,194,16,1987
D18,6.65,68,2,1982
D21,6.65,98,3,1984
I7,6.65,100,12,2020
G8,6.64,90,13,2020
C2,6.63,94,18,1982
I5,6.63,144,11,1984
F16,6.63,119,12,1995
C4,6.62,168,14,1984
C6,6.62,183,17,1984
D18,6.61,114,2,1984
E16,6.61,206,14,1987
E20,6.59,58,2,1980
J6,6.57,77,12,1979
G9,6.57,69,19,1979
D19,6.57,69,3,1981
C12,6.57,142,11,1984
D15,6.57,108,19,1995
C19,6.56,82,5,1980
J5,6.56,151,16,1980
G7,6.56,106,21,1982
J10,6.56,75,16,2020
K7,6.55,110,19,1980
E21,6.55,115,4,1984
E1,6.54,87,16,2005
E13,6.54,134,17,2020
K5,6.53,101,17,1980
J8,6.53,118,17,1982
G4,6.53,131,11,1984
D15,6.53,148,15,1984
D19,6.53,95,2,1984
B2,6.53,70,16,2005
D18,6.52,58,4,1980
C18,6.52,89,24,1981
C16,6.52,169,19,1987
E6,6.52,153,10,2005
D19,6.51,68,3,1980
J4,6.51,122,20,1982
E7,6.51,115,18,1995
D2,6.5,129,18,1995
C23,6.5,18,5,2005
H9,6.5,113,14,2020
F14,6.5,133,13,2020
G8,6.49,90,16,1979
C2,6.49,74,19,1981
F4,6.49,166,18,1984
C19,6.48,92,4,1981
D7,6.48,118,14,2005
G3,6.48,139,12,2005
H5,6.48,85,12,2020
G4,6.48,126,17,2020
I5,6.47,178,15,1995
C18,6.46,92,23,1980
C5,6.46,181,20,1987
F4,6.46,132,20,1995
F11,6.45,144,19,1987
F14,6.44,99,18,1979
I8,6.44,108,19,1982
D17,6.43,127,7,1984
D14,6.43,77,15,2005
G6,6.42,90,15,1980
E4,6.42,149,17,1980
C13,6.42,67,12,1982
F5,6.42,64,13,2020
F7,6.41,176,18,1980
C11,6.41,141,19,1981
B19,6.41,131,12,2020
E12,6.4,125,15,1980
F11,6.4,177,18,1995
C2,6.4,116,18,1995
C1,6.4,96,14,1995
C13,6.39,80,12,1980
E7,6.38,138,22,1980
F2,6.38,113,14,1987
E14,6.38,143,13,2005
D19,6.37,81,3,1979
I7,6.37,175,16,1995
I7,6.36,247,10,1984
K5,6.35,81,17,1981
E12,6.35,85,17,1982
C21,6.35,113,8,2005
I10,6.35,92,16,2020
G3,6.35,136,15,2020
C18,6.34,80,24,1982
C7,6.33,175,23,1980
H6,6.33,100,12,1982
I7,6.33,85,18,1982
J8,6.33,85,9,2020
K5,6.32,77,16,1979
G8,6.32,164,21,1987
B6,6.32,260,17,1987
I8,6.31,121,18,1981
E21,6.31,52,3,1981
I10,6.31,147,19,1987
J5,6.3,117,18,1981
C12,6.3,105,13,1981
C19,6.29,58,5,1979
D13,6.28,99,16,2005
F15,6.27,111,21,1980
H5,6.27,164,14,1995
J4,6.27,95,15,2005
C16,6.27,99,13,2005
J4,6.26,129,18,1979
I8,6.26,96,17,1980
F3,6.26,152,16,1980
K6,6.26,86,16,1981
C23,6.26,169,14,1995
C2,6.25,75,13,1979
D2,6.25,93,15,1979
E20,6.25,80,2,1982
D12,6.25,187,17,1987
C19,6.25,72,5,1995
F3,6.24,160,19,1979
G8,6.24,100,17,1980
E11,6.24,196,15,1987
B1,6.24,51,11,2020
B7,6.23,144,13,1982
D19,6.23,128,4,1987
I8,6.23,158,8,2005
G2,6.23,126,18,2020
E21,6.22,69,4,1979
D18,6.22,81,5,1981
C17,6.22,77,9,1984
B13,6.22,275,18,1987
I7,6.22,99,12,2005
C3,6.22,118,12,2005
F17,6.22,82,10,2005
C16,6.21,90,18,1981
I4,6.21,211,16,1987
G3,6.21,207,13,1995
I4,6.21,70,13,2005
B20,6.21,160,8,2020
B7,6.2,137,12,1979
D7,6.2,132,19,1995
G9,6.19,94,24,1981
E4,6.19,88,20,1982
F7,6.19,229,24,1987
E14,6.19,154,18,2020
D3,6.18,101,16,1981
E21,6.18,55,3,1982
F15,6.18,157,17,1984
H3,6.18,78,16,2005
E2,6.18,136,17,2020
C11,6.17,114,12,1979
