plot,mean_wt_c,total_cover,total_richness,year
C15,4.7,90,22,1980
F10,4.7,101,19,1981
E17,4.7,193,16,1987
B8,4.7,292,22,1987
B12,4.69,118,13,1980
D4,4.69,100,15,1981
C3,4.69,83,9,1984
D12,4.69,131,17,2020
D4,4.68,95,14,1979
E5,4.68,106,10,1981
K12,4.68,250,17,1987
C4,4.68,127,15,1995
K11,4.67,155,12,1979
F2,4.67,100,21,1982
K8,4.67,145,13,1982
B20,4.67,201,18,1987
D19,4.67,92,6,1995
C22,4.67,164,6,2005
C23,4.65,171,13,1980
H4,4.65,79,18,1980
E1,4.65,118,12,1984
K8,4.65,161,7,1995
I19,4.65,75,4,2020
E11,4.64,117,17,1980
G10,4.64,117,13,1980
B18,4.64,139,16,1995
F8,4.63,123,14,1979
D4,4.63,115,14,1980
I11,4.63,113,11,1980
H8,4.63,147,13,1981
B11,4.63,140,12,1995
J18,4.63,123,4,2005
G2,4.62,69,16,1981
B10,4.62,99,7,1995
D7,4.61,101,14,1979
C3,4.61,79,11,1979
B13,4.61,114,18,1982
G13,4.61,146,6,1995
B15,4.61,128,8,1995
H8,4.61,70,11,2005
H16,4.61,108,7,2005
F12,4.61,114,12,2005
I2,4.6,96,10,1979
D12,4.6,106,19,1981
H3,4.6,144,10,1984
L4,4.6,166,9,1987
B18,4.6,208,16,1987
D4,4.6,147,11,1995
K4,4.6,119,10,1995
D1,4.59,86,23,1981
F20,4.57,98,7,1995
D17,4.57,79,11,1995
D19,4.57,61,7,2005
L4,4.56,94,6,1980
G10,4.56,145,16,1995
J3,4.55,108,16,1981
B2,4.55,168,10,1984
C21,4.55,199,16,1987
I11,4.54,94,11,1979
H9,4.54,133,15,1979
D8,4.54,85,15,1980
G1,4.54,112,11,1987
I19,4.54,90,4,2005
G10,4.54,97,16,2020
B4,4.53,115,18,1980
B17,4.53,143,20,1981
F19,4.53,85,8,2005
B6,4.53,103,9,2020
E15,4.53,118,15,2020
C4,4.53,184,13,2020
D8,4.53,154,10,2020
G14,4.52,123,15,1979
B17,4.52,109,17,1980
B4,4.52,81,16,1982
B5,4.52,240,14,1984
H4,4.52,161,14,1984
B12,4.52,219,16,1987
D17,4.51,61,18,1980
C17,4.51,71,17,1980
C3,4.5,111,18,1981
K5,4.5,160,8,2005
E20,4.5,100,2,2020
C13,4.48,225,12,1984
H19,4.48,130,8,2005
J3,4.47,104,11,1980
B22,4.47,107,16,1981
K9,4.46,152,14,1987
C14,4.46,87,15,1995
H3,4.46,155,16,1995
B19,4.46,136,13,1995
D18,4.46,98,7,2005
F21,4.45,85,7,1980
K8,4.45,240,18,1984
H6,4.45,11,5,1987
D4,4.45,164,15,1987
B11,4.45,196,17,1987
F16,4.45,145,18,1987
B13,4.45,139,12,2005
C12,4.44,110,12,1980
D8,4.44,108,18,1981
F1,4.44,168,16,1987
B11,4.44,118,8,2005
F9,4.44,71,7,2005
E5,4.43,181,19,1987
D18,4.43,58,3,2020
C16,4.43,133,13,2020
D1,4.42,88,18,1979
B24,4.42,152,12,1995
F12,4.42,115,8,1995
J9,4.42,149,20,1995
H1,4.42,118,19,1995
H14,4.42,79,12,2020
E17,4.42,235,8,2020
C4,4.41,109,20,1981
H3,4.41,97,16,1982
C16,4.41,272,16,1995
J3,4.4,102,11,1979
J9,4.4,136,12,1984
B9,4.4,25,3,2020
D17,4.39,69,22,1982
F11,4.39,110,10,1984
E18,4.39,205,16,1984
B17,4.39,210,9,2005
F20,4.38,103,6,1979
E17,4.38,177,19,1981
C1,4.38,85,11,1982
H8,4.38,168,10,1984
J8,4.38,308,26,1987
E21,4.38,76,4,2005
H19,4.38,39,8,2020
H8,4.38,117,16,2020
L5,4.37,102,12,1979
C15,4.37,63,11,1995
B19,4.37,153,11,2005
F21,4.36,78,7,1979
J8,4.36,309,20,1984
C5,4.35,142,22,1982
H20,4.35,92,7,2005
F20,4.35,100,4,2020
G6,4.35,162,11,2020
D17,4.34,85,20,1981
K6,4.34,116,10,2005
C8,4.33,175,19,1980
B14,4.33,137,19,1980
G14,4.33,121,22,1982
B16,4.33,116,12,2020
J2,4.33,98,16,2020
F2,4.32,114,18,1979
I12,4.32,113,10,1980
B14,4.32,139,22,1981
J3,4.32,96,7,2020
B8,4.32,106,10,2020
B12,4.32,103,9,2020
H4,4.31,80,19,1982
B21,4.31,168,12,1987
B16,4.31,118,6,2005
F21,4.31,151,7,2005
F19,4.31,80,4,2020
B1,4.3,67,20,1981
D21,4.3,100,4,2020
D16,4.3,189,17,2020
B13,4.29,112,16,1979
F10,4.29,117,18,1980
B12,4.29,156,12,1984
H9,4.29,156,17,1984
I11,4.28,129,14,1981
I11,4.28,155,13,1987
G10,4.28,67,12,2005
J13,4.28,127,5,2005
E5,4.27,115,10,1980
K4,4.27,100,18,1982
B11,4.26,135,16,1981
G2,4.26,99,18,1982
I11,4.26,154,12,1984
J2,4.26,95,3,1987
C13,4.26,122,11,2005
H3,4.25,113,14,1981
E1,4.25,79,11,1987
G16,4.25,105,17,1987
I10,4.24,123,21,1982
B21,4.24,202,15,1984
C1,4.24,83,8,1984
B16,4.24,208,14,1984
J1,4.24,148,9,1987
K11,4.23,163,18,1980
B19,4.23,120,16,1981
G11,4.23,171,10,1995
I4,4.23,86,9,2020
E1,4.22,67,18,1981
A12,4.21,126,8,1979
I10,4.21,97,15,1979
C3,4.21,87,14,1980
J10,4.21,89,19,1982
D21,4.21,62,5,1982
K9,4.21,153,10,1984
G11,4.21,63,8,1984
B12,4.2,126,13,1981
H4,4.2,181,16,1995
E11,4.19,108,17,1981
B13,4.19,106,16,1981
F21,4.19,85,5,1981
F16,4.19,96,14,1982
H2,4.19,102,21,1984
I2,4.18,77,10,2020
G14,4.17,137,18,1981
B11,4.16,149,16,1980
J2,4.16,82,6,1981
B17,4.16,112,21,1982
F13,4.16,89,16,1995
C14,4.15,98,17,1982
K5,4.15,65,11,2020
E16,4.15,99,11,2020
H3,4.14,121,13,1979
F2,4.14,135,20,1980
K12,4.13,174,12,1995
K9,4.13,178,6,1995
D4,4.13,141,10,2020
K2,4.12,56,4,1981
B18,4.12,91,17,1981
B20,4.12,187,10,1984
D21,4.11,57,6,1979
D21,4.11,57,6,1980
K8,4.11,248,15,1987
E19,4.1,48,4,1980
E1,4.1,100,19,1982
H10,4.1,206,16,1987
E1,4.09,57,14,1979
F21,4.08,149,4,1984
G15,4.08,185,17,1987
K11,4.07,201,20,1987
I2,4.07,75,7,1995
K12,4.06,95,13,1979
I10,4.06,102,20,1981
B4,4.06,90,19,1981
G11,4.06,109,9,1987
B13,4.05,151,16,1980
K12,4.05,113,17,1982
F9,4.05,126,8,2020
K11,4.04,182,19,1981
D10,4.04,95,23,1982
H15,4.04,99,10,2020
K1,4.04,81,15,2020
C4,4.03,128,15,1980
E10,4.02,96,13,1979
E16,4.02,242,17,2005
A1,4.02,85,10,2005
F10,4.01,93,11,1984
J10,4.01,123,12,1984
A4,4.01,143,13,1987
H9,4,181,18,1980
B3,4,211,12,1984
L11,4,109,12,1984
C15,3.99,80,19,1979
I2,3.99,78,12,1981
F1,3.99,139,25,1982
C15,3.99,69,7,2005
B18,3.97,77,17,1980
C14,3.97,123,18,1980
D12,3.96,106,15,1980
E10,3.96,119,19,1980
J3,3.96,187,10,1984
B12,3.96,113,12,2005
F18,3.96,229,9,2005
C21,3.95,110,25,1981
F19,3.95,128,9,1981
B11,3.95,119,14,1982
C14,3.95,171,12,2020
J1,3.94,69,11,2005
K10,3.94,232,13,2020
K8,3.93,121,11,1979
I10,3.93,128,19,1980
K12,3.93,112,17,1981
K4,3.93,116,11,2020
I2,3.92,112,11,1980
J10,3.92,76,20,1981
F1,3.92,146,25,1981
B15,3.92,74,17,1982
D13,3.92,165,13,2020
F1,3.91,77,14,2020
H2,3.9,105,19,1979
F19,3.9,135,7,1979
J16,3.9,240,4,2005
B11,3.89,126,15,1979
B22,3.89,161,20,1995
E22,3.89,83,5,1995
E18,3.89,123,9,1995
D13,3.88,137,11,1984
H6,3.88,129,14,2020
F19,3.87,123,9,1980
E10,3.87,143,21,1981
K12,3.87,264,14,1984
K11,3.87,125,11,1995
E5,3.87,60,13,2020
B1,3.86,99,18,1984
K1,3.86,127,8,1987
K10,3.86,102,9,1995
E18,3.85,136,13,1979
D17,3.85,46,13,1979
L8,3.85,131,7,1995
H16,3.85,143,8,2020
B3,3.84,81,13,1979
C14,3.83,95,14,1979
H15,3.83,72,11,2005
G11,3.83,115,9,2005
E15,3.82,65,9,1979
K8,3.82,112,11,1980
F18,3.82,131,16,1995
E17,3.81,134,19,1980
K11,3.81,240,13,1984
F19,3.81,227,17,1987
J5,3.81,254,14,1995
E22,3.81,114,6,2005
A1,3.8,107,17,1987
I11,3.8,153,15,1995
B14,3.79,112,17,1979
B8,3.79,100,15,1980
B19,3.79,224,15,1984
L7,3.79,170,7,1995
F1,3.78,134,12,1984
B10,3.78,111,11,2020
K3,3.78,104,9,2020
I1,3.77,132,13,1995
F16,3.76,110,13,1980
E15,3.76,113,17,1982
D11,3.76,74,11,2020
F16,3.75,103,12,1979
L7,3.75,202,15,1987
E22,3.75,114,6,1987
F20,3.75,166,6,2005
C13,3.75,162,15,2020
K12,3.73,128,17,1980
L5,3.73,82,14,1982
E18,3.73,237,15,1987
B3,3.72,95,14,1980
E21,3.72,53,7,1995
B3,3.71,87,15,1981
J2,3.71,59,7,1982
L3,3.71,91,6,2005
A19,3.71,111,8,2020
C14,3.7,106,18,1981
H2,3.7,127,20,1987
J12,3.69,127,16,1987
B4,3.69,102,8,1995
L4,3.68,78,14,1982
K3,3.68,114,9,1987
E17,3.68,111,18,1995
B21,3.68,113,10,1995
C21,3.67,132,23,1980
B19,3.66,138,15,1980
E1,3.66,61,14,1980
K10,3.65,288,7,2005
E19,3.65,85,2,2020
E10,3.64,96,15,1982
A5,3.64,88,7,1995
G19,3.64,128,5,2020
K11,3.63,99,18,1982
A23,3.62,69,7,2005
K9,3.62,128,11,2020
K8,3.61,120,14,1981
A4,3.61,115,7,1995
J1,3.6,83,13,1981
I1,3.6,112,24,1981
B22,3.59,107,15,1980
G11,3.59,74,14,1981
L5,3.58,111,6,1984
L7,3.56,195,11,1984
G1,3.55,119,11,1984
B22,3.55,188,7,2020
F12,3.54,59,8,2020
G13,3.53,162,9,1987
K3,3.53,73,10,1995
E5,3.53,104,17,1995
J10,3.52,172,20,1987
C23,3.52,93,9,2020
B19,3.51,121,13,1979
B18,3.51,85,15,1979
J10,3.51,97,11,1979
H2,3.51,134,18,1980
E9,3.5,48,4,2020
L6,3.49,137,15,1979
B19,3.49,129,21,1982
B15,3.49,207,11,1984
C14,3.49,110,7,2005
I1,3.48,121,22,1980
E18,3.48,169,13,1980
L3,3.48,124,7,1995
A4,3.48,194,7,2020
H4,3.47,103,14,1979
G11,3.47,66,14,1980
B18,3.47,98,17,1982
B8,3.46,80,14,1979
J10,3.46,110,17,1980
B11,3.46,163,9,1984
B24,3.46,179,17,1987
B21,3.46,90,8,2005
B22,3.45,87,11,1979
L6,3.45,145,15,1981
E19,3.45,55,5,1982
F8,3.45,247,13,1984
B4,3.45,159,6,2005
G12,3.45,203,11,2005
H11,3.45,145,14,2020
B15,3.44,55,11,1981
I2,3.44,61,5,1984
I2,3.44,39,8,2005
B6,3.44,131,12,2005
E18,3.43,174,13,1981
B18,3.43,176,18,1984
I12,3.43,198,15,1987
A14,3.43,105,9,1995
L6,3.42,106,15,1982
F1,3.41,121,23,1980
K9,3.41,168,18,1980
A4,3.41,100,10,1981
D4,3.41,106,9,2005
B11,3.41,107,8,2020
E17,3.4,112,18,1982
B22,3.4,105,15,1982
K1,3.4,55,7,2005
J2,3.39,79,5,1979
B3,3.39,99,13,1982
B15,3.39,178,8,2020
E5,3.38,96,10,1979
K10,3.38,197,15,1987
B14,3.38,193,8,2005
J11,3.36,177,19,1995
H11,3.36,74,12,2005
G19,3.36,104,10,2005
G13,3.35,84,12,1982
B17,3.35,234,19,1984
B1,3.35,129,18,1987
B14,3.35,167,11,1995
A22,3.35,120,11,1995
J2,3.34,83,5,1980
H10,3.34,91,14,1981
A4,3.34,82,9,1982
F19,3.34,225,14,1984
F10,3.34,169,21,1987
I15,3.34,154,9,2005
C21,3.33,115,19,1979
J1,3.33,113,8,1980
K2,3.33,113,6,1987
I15,3.33,200,9,2020
G1,3.32,68,19,1982
D20,3.32,66,5,1995
G11,3.32,57,8,2020
G13,3.31,85,8,1979
L6,3.31,151,15,1980
J11,3.31,124,12,1981
K9,3.31,170,18,1981
G13,3.31,71,8,1981
K13,3.31,218,9,2005
E19,3.29,73,5,1981
D12,3.29,252,11,2005
J9,3.28,138,15,1980
B21,3.28,287,6,2020
L7,3.27,59,16,1982
K12,3.27,232,8,2005
I1,3.26,151,21,1979
K9,3.26,125,10,1979
F1,3.26,172,22,1979
A2,3.23,102,12,1980
G1,3.23,99,23,1981
H10,3.22,90,16,1982
B17,3.22,199,11,2020
I12,3.22,23,11,2020
F12,3.21,105,9,1981
H15,3.21,71,13,1982
A12,3.2,178,9,1981
H2,3.2,121,20,1981
K17,3.2,94,7,2005
J11,3.19,105,10,1979
A12,3.19,163,9,1980
L12,3.18,11,5,2005
H20,3.17,84,7,2020
G1,3.16,102,17,1980
J9,3.16,190,17,1987
G15,3.15,112,20,1980
E19,3.14,35,5,1995
G15,3.13,102,19,1981
K2,3.13,93,2,1984
F12,3.12,109,8,1979
J9,3.12,134,18,1982
G16,3.11,71,10,1979
B20,3.11,151,18,1981
E5,3.11,85,9,1984
B7,3.11,138,8,2020
H11,3.1,144,15,1995
E18,3.09,132,13,1982
G13,3.07,176,8,2005
K2,3.07,95,10,2020
J11,3.06,121,13,1980
L13,3.06,18,3,1981
B20,3.06,106,18,1982
K9,3.05,115,18,1982
I2,3.05,111,7,1987
B20,3.04,132,16,1980
E15,3.04,160,15,1981
A5,3.04,158,7,2020
I13,3.04,75,9,2020
I12,3.03,76,8,1979
B14,3.03,150,22,1982
A23,3.01,75,6,2020
G15,3,94,18,1979
F21,3,143,8,1982
G15,3,110,18,1982
F18,2.99,266,19,1987
G21,2.99,67,6,2005
B18,2.99,169,14,2020
G11,2.98,61,11,1979
G15,2.98,180,16,1984
E20,2.98,54,7,1995
K2,2.98,94,9,1995
J9,2.97,116,16,1981
K7,2.97,128,11,2020
I9,2.94,110,11,1984
I12,2.94,106,6,2005
E19,2.93,55,5,1979
A11,2.93,136,9,2005
I12,2.92,199,14,1984
A9,2.92,174,7,2005
G16,2.9,83,13,1981
L11,2.9,82,3,2005
A11,2.88,34,4,2020
A2,2.87,134,8,2005
D23,2.87,85,8,2005
I14,2.87,103,9,2020
B22,2.86,180,13,1984
G1,2.85,71,19,1979
K9,2.84,198,5,2005
K4,2.82,131,10,1984
L7,2.81,152,16,1980
H2,2.81,152,21,1982
I1,2.81,183,27,1982
A25,2.81,128,7,1995
L10,2.81,27,3,2005
K1,2.8,86,14,1980
F fence,2.8,84,6,2005
B20,2.79,107,16,1979
A2,2.78,194,10,1995
H13,2.78,81,10,2020
G16,2.77,77,11,1980
A9,2.77,196,6,2020
L9,2.76,63,5,1984
A7,2.76,242,10,1984
F18,2.76,148,8,2020
E15,2.75,121,13,1980
H3,2.75,125,12,1980
A23,2.75,173,8,1982
A2,2.75,171,9,1987
E17,2.75,122,12,2005
F18,2.73,123,12,1979
H15,2.73,91,15,1980
B21,2.73,134,16,1981
L4,2.73,200,8,1995
H15,2.72,89,15,1981
E22,2.72,82,15,1982
L6,2.72,204,11,1995
H15,2.71,85,13,1979
B23,2.71,104,15,1982
J15,2.71,129,4,2005
L3,2.7,97,6,1984
F21,2.7,60,7,1995
J15,2.7,198,5,2020
H1,2.69,171,9,1984
I9,2.69,147,12,1987
I15,2.68,168,9,1995
A5,2.67,291,15,1987
A3,2.66,266,14,1984
F20,2.66,224,15,1984
J9,2.65,111,12,1979
L9,2.65,116,8,1995
F18,2.64,146,14,1980
D8,2.64,104,12,2005
J12,2.63,149,14,1984
L11,2.63,169,7,1987
A2,2.62,214,6,1984
J19,2.62,16,5,2005
L4,2.62,68,6,2005
I12,2.61,61,11,1981
L6,2.6,196,15,1987
L10,2.6,73,12,1995
I13,2.6,72,11,2005
D19,2.6,100,3,2020
A12,2.59,132,10,1982
G13,2.58,128,8,1980
D20,2.58,90,5,1984
A22,2.57,44,7,2005
B23,2.57,124,10,2020
A2,2.56,129,15,1981
E8,2.56,125,4,2020
L4,2.54,54,8,1979
B24,2.54,204,5,2020
A4,2.53,129,9,1979
H13,2.53,113,13,1984
A11,2.52,284,6,1984
A8,2.52,233,7,1984
H12,2.52,159,12,1995
K10,2.51,113,8,1984
H10,2.5,98,11,1979
A18,2.5,90,13,1995
A9,2.5,107,9,1995
K13,2.49,102,20,1979
L4,2.49,59,9,1981
E18,2.49,180,11,2005
B21,2.48,123,18,1982
A22,2.48,60,6,2020
J11,2.47,139,15,1982
F13,2.47,130,17,1987
J1,2.44,95,8,1979
A24,2.44,88,5,2020
L1,2.44,111,5,2020
K1,2.43,99,15,1979
F12,2.43,132,8,1980
H13,2.43,44,13,2005
E19,2.43,218,6,2005
A2,2.42,104,11,1979
L7,2.42,78,16,1981
A17,2.42,118,16,1995
A4,2.41,135,8,1980
A25,2.41,116,10,2005
A2,2.39,161,14,1982
I11,2.38,187,5,2005
L7,2.36,97,14,1979
H10,2.36,111,13,1980
A7,2.35,183,11,1980
G16,2.35,82,15,1982
J12,2.35,133,9,1995
K11,2.35,161,11,2020
I14,2.34,162,6,2005
K10,2.32,140,14,1980
A10,2.32,168,10,1987
A12,2.32,231,11,2020
G16,2.31,130,15,1984
I14,2.31,193,7,1995
K8,2.31,172,8,2020
F18,2.29,140,15,1981
A4,2.27,90,6,2005
F19,2.26,84,9,1982
L5,2.26,170,10,1987
H12,2.26,91,12,2020
K2,2.25,71,5,2005
A3,2.24,126,16,1982
A7,2.24,251,15,1987
B22,2.24,139,6,2005
L1,2.23,91,14,1980
A3,2.23,285,11,1987
A5,2.23,254,11,2005
K10,2.22,113,15,1982
G12,2.22,98,7,2020
J13,2.2,178,13,1995
B15,2.19,95,8,1979
B15,2.18,117,11,1980
H15,2.18,97,18,1995
K8,2.18,243,5,2005
A3,2.17,71,11,1995
B1,2.16,96,18,1982
A3,2.14,137,12,1979
I12,2.14,81,12,1982
H15,2.13,171,12,1987
K13,2.12,107,22,1981
E18,2.12,137,5,2020
A1,2.11,145,23,1981
I11,2.11,123,10,2020
B1,2.1,92,14,1980
A1,2.1,123,22,1982
H13,2.09,137,15,1995
A8,2.07,216,14,2005
A11,2.06,110,14,1979
A11,2.06,190,14,1987
L1,2.06,140,10,1987
H14,2.06,78,17,1995
A23,2.06,90,5,1995
L6,2.06,86,6,2005
A21,2.06,36,6,2020
I13,2.05,132,14,1995
A23,2.04,135,6,1979
F18,2.04,139,13,1984
A11,2.03,107,15,1981
L10,2.03,194,10,1987
A13,2.02,94,8,1979
H12,2.02,101,14,1979
J11,2.02,190,11,1984
L8,2,65,9,1980
A7,2,150,7,1995
A14,2,33,5,2020
B14,1.99,167,8,2020
L11,1.99,148,5,2020
K13,1.98,185,12,1987
K10,1.97,118,13,1979
A9,1.96,213,14,1987
B23,1.95,87,13,1980
A16,1.95,171,9,1984
H8,1.95,106,9,1987
I9,1.94,118,13,1979
A14,1.93,68,12,1987
A10,1.93,58,12,1995
A1,1.91,148,18,1980
L8,1.91,147,12,1981
I12,1.91,129,7,1995
A17,1.91,75,8,2005
A20,1.91,107,6,2020
J1,1.9,124,7,1984
H11,1.89,205,14,1984
F18,1.88,110,15,1982
A23,1.88,193,17,1987
A3,1.87,140,14,1980
K1,1.87,79,7,1984
A23,1.86,148,7,1980
K1,1.86,91,14,1982
I14,1.86,267,12,1987
A6,1.85,130,17,1981
K1,1.85,100,14,1995
A16,1.84,70,6,2020
I9,1.83,105,17,1981
B24,1.83,192,18,1984
L8,1.83,172,15,1987
A16,1.83,52,6,2005
A10,1.82,113,9,1981
B24,1.82,130,13,1982
H1,1.82,120,13,1987
H12,1.82,169,11,2005
A10,1.81,216,9,1984
A6,1.8,150,8,1984
L6,1.8,106,7,2020
A6,1.79,149,13,1980
I1,1.79,126,14,1987
H12,1.78,118,13,1980
H15,1.78,180,7,1984
B24,1.77,120,13,1979
H12,1.77,83,14,1982
A10,1.77,98,12,2005
H1,1.76,55,20,1981
K1,1.76,80,16,1981
L3,1.75,53,6,2020
A12,1.74,218,12,1987
A24,1.74,214,10,1995
K10,1.72,101,15,1981
A21,1.71,101,17,1995
I9,1.7,91,14,1982
L11,1.7,139,12,1982
L11,1.7,53,8,1995
B23,1.69,104,7,2005
J12,1.68,25,7,2020
A11,1.67,132,16,1982
K6,1.67,115,11,2020
A25,1.67,45,4,2020
H16,1.66,152,14,1981
H16,1.66,104,14,1995
B23,1.65,213,14,1995
A13,1.64,291,12,1987
H16,1.64,222,12,1987
J12,1.64,114,9,2005
L17,1.63,68,6,2005
D20,1.63,95,2,2020
A6,1.62,133,14,1979
B23,1.62,176,12,1987
K13,1.62,133,10,1995
L9,1.61,163,11,1987
L1,1.6,162,16,1982
L1,1.6,131,8,1984
B24,1.59,179,14,1981
L6,1.59,163,14,1984
L7,1.58,31,8,2005
B1,1.57,107,20,1979
A5,1.57,140,11,1980
A5,1.55,116,10,1979
B21,1.55,125,15,1980
A6,1.55,156,17,1982
K13,1.54,81,20,1980
L2,1.54,78,9,1987
A6,1.54,155,13,1995
A12,1.54,78,13,1995
B24,1.52,117,12,1980
H12,1.49,126,14,1981
A12,1.49,193,11,1984
K11,1.48,124,4,2005
B21,1.47,118,14,1979
L12,1.47,15,5,2020
E22,1.46,81,8,1979
E22,1.46,94,12,1980
A3,1.46,177,15,1981
I9,1.45,131,15,1980
L10,1.45,93,10,1984
B24,1.45,143,9,2005
A15,1.44,133,14,1981
J13,1.43,179,20,1984
L10,1.43,49,8,2020
J1,1.42,127,8,2020
L14,1.41,32,8,2005
L2,1.4,132,14,1980
A11,1.4,86,13,1980
L2,1.38,105,14,1982
A14,1.37,126,16,1979
A23,1.37,183,8,1981
I15,1.37,139,13,1987
L8,1.36,47,12,1982
A5,1.36,124,4,1984
J13,1.36,154,4,1987
A21,1.36,28,4,2005
A5,1.35,127,16,1981
L1,1.34,68,18,1981
H12,1.34,158,9,1984
L12,1.34,131,7,1995
L1,1.32,94,8,1995
A14,1.31,61,15,1981
H16,1.3,126,8,1984
A13,1.3,54,8,1995
L13,1.3,30,9,2005
A10,1.29,156,10,1982
L2,1.29,107,6,1995
H14,1.28,93,15,1981
I1,1.27,114,10,1984
A19,1.27,240,9,1987
G20,1.27,196,7,2005
A16,1.26,102,18,1982
A15,1.26,194,15,1987
L5,1.26,164,16,1995
H1,1.24,90,15,1980
A7,1.24,121,15,1982
I13,1.24,162,13,1984
A3,1.24,33,11,2005
G13,1.24,210,4,2020
L12,1.22,138,11,1981
A11,1.22,146,7,1995
A15,1.21,118,11,1980
A1,1.2,65,5,2020
A7,1.17,111,10,1979
L12,1.17,231,13,1984
J12,1.15,78,16,1982
A10,1.15,86,6,2020
J12,1.14,80,15,1981
A13,1.14,73,7,1981
I14,1.14,147,17,1982
A5,1.14,110,12,1982
I13,1.14,193,16,1987
A6,1.14,169,9,1987
A15,1.11,90,8,1979
F21,1.11,241,14,1987
L2,1.1,106,13,1979
A9,1.08,111,6,1979
L11,1.08,105,11,1980
K12,1.08,143,9,2020
A15,1.07,241,12,1984
L8,1.06,50,5,1979
L2,1.05,116,15,1981
A8,1.05,212,16,1987
A12,1.05,94,11,2005
L2,1.05,66,11,2005
J12,1.03,90,11,1979
A22,1.03,96,10,1981
I14,1.03,139,13,1981
L10,1.03,140,16,1982
L4,1.03,138,7,2020
A15,1.02,65,13,1982
A19,1.01,141,6,2005
B23,1,128,11,1981
A8,1,145,5,1995
A6,1,95,10,2005
A1,0.99,88,14,1979
A9,0.99,121,6,1980
A21,0.99,118,11,1980
A18,0.99,273,14,1987
I14,0.98,151,12,1980
H16,0.98,123,17,1982
A8,0.98,41,4,2020
B23,0.97,74,9,1979
L15,0.97,178,4,2005
L7,0.97,38,10,2020
A22,0.96,94,9,1979
H16,0.96,115,14,1980
A20,0.95,108,13,1979
H14,0.94,86,14,1980
L9,0.94,118,12,1982
A9,0.93,110,7,1981
A22,0.93,147,11,1982
H11,0.93,163,12,1987
A14,0.92,49,5,2005
A15,0.92,51,5,2020
L1,0.91,66,12,1979
I13,0.91,85,15,1982
A14,0.9,151,19,1982
H11,0.9,106,16,1982
A9,0.9,132,5,1984
A17,0.9,178,9,1984
A13,0.9,126,8,2020
A21,0.89,123,9,1979
A7,0.89,157,12,1981
A22,0.88,178,14,1987
A9,0.87,124,7,1982
A22,0.87,151,10,1984
L5,0.85,34,7,2005
A10,0.84,106,8,1980
I14,0.84,223,13,1984
H14,0.83,185,14,1984
H1,0.82,85,11,1979
L10,0.81,101,18,1981
J12,0.8,107,12,1980
A18,0.8,161,13,1984
A4,0.79,185,12,1984
H14,0.79,165,11,1987
A7,0.79,52,8,2005
A13,0.78,120,8,1980
A8,0.78,129,15,1982
H16,0.77,88,12,1979
L10,0.77,130,17,1980
A10,0.76,99,8,1979
A8,0.76,86,14,1979
I13,0.76,106,13,1980
L12,0.76,205,15,1987
L9,0.76,34,5,2005
A2,0.75,16,6,2020
L13,0.75,20,2,2020
L5,0.75,106,7,2020
A8,0.74,115,14,1980
H12,0.74,188,19,1987
A23,0.73,157,4,1984
A19,0.73,193,19,1984
A15,0.73,172,17,1995
H14,0.72,74,13,1979
A13,0.72,174,10,1984
I15,0.71,82,14,1981
H13,0.71,205,11,1987
J13,0.7,76,17,1981
B23,0.7,69,5,1984
A20,0.69,130,14,1982
H1,0.69,116,19,1982
I14,0.68,68,9,1979
L8,0.68,59,4,1984
A14,0.66,115,16,1980
I13,0.64,87,17,1981
K13,0.64,164,20,1982
L2,0.64,194,7,2020
A21,0.62,151,15,1982
A13,0.6,94,7,1982
A6,0.6,5,2,2020
A17,0.59,88,13,1980
A19,0.59,88,10,1981
L12,0.58,157,12,1982
I15,0.57,89,12,1982
H14,0.57,106,15,1982
I15,0.57,140,9,1984
L13,0.57,122,6,1995
L16,0.57,105,10,2005
I15,0.56,84,12,1980
A16,0.56,97,13,1980
H11,0.56,110,16,1981
A14,0.56,197,10,1984
A18,0.55,112,10,1982
L8,0.55,80,7,2020
A7,0.53,36,4,2020
A16,0.52,133,16,1981
L13,0.52,118,12,1984
A17,0.52,63,10,2020
L9,0.5,118,14,1981
A18,0.49,82,6,1979
A17,0.49,111,17,1982
H11,0.48,69,11,1980
J13,0.46,109,16,1980
A21,0.45,147,11,1981
A20,0.45,262,15,1987
L12,0.44,167,11,1980
A18,0.44,111,8,1981
A8,0.44,130,15,1981
A20,0.44,158,14,1995
L12,0.43,95,11,1979
A17,0.43,93,10,1979
I15,0.43,61,8,1979
J13,0.42,118,18,1982
L9,0.4,58,8,1979
L11,0.4,115,11,1981
A24,0.4,30,7,2005
A19,0.39,122,11,1982
A21,0.39,227,9,1984
L9,0.39,165,5,2020
A17,0.38,108,17,1981
L11,0.37,57,7,1979
K13,0.37,115,8,1984
A22,0.36,96,10,1980
A13,0.34,117,7,2005
L8,0.34,65,9,2005
A18,0.32,78,6,1980
A18,0.32,28,4,2020
A19,0.31,109,16,1995
A15,0.28,71,4,2005
A16,0.27,95,12,1979
A20,0.26,73,11,1980
A25,0.26,101,6,1982
A19,0.25,108,10,1979
L13,0.25,115,5,1987
A19,0.24,76,11,1980
J13,0.23,110,14,1979
A21,0.23,217,12,1987
A3,0.23,43,8,2020
H13,0.21,102,11,1980
L9,0.21,102,11,1980
A20,0.21,132,13,1981
H13,0.21,112,13,1982
A20,0.2,5,3,2005
A16,0.18,111,3,1995
